_Composite_Pipe_Results_
	Input parameters:
Hot side temperature:
T1 =	110.000	deg C
Cold side temperature:
T2 =	30.000	deg C

Pipe length:
L =	1.000	m

Inner radius:
r_1 =	0.050	m

Thermal conductivity of layer 1:
k_1 =	400.000	W/m.K
Outer radius of layer 1:
r_2 =	0.060	m

Layer 1 resistance to heat transfer:
R_2 =	0.000	K/W

Thermal conductivity of layer 2:
k_2 =	150.000	W/m.K
Outer radius of layer 2:
r_3 =	0.080	m

Layer 2 resistance to heat transfer:
R_3 =	0.000	K/W

Thermal conductivity of layer 3:
k_3 =	0.500	W/m.K
Outer radius of layer 3:
r_4 =	0.130	m

Layer 3 resistance to heat transfer:
R_4 =	0.155	K/W

	Intermediate parameters:
Rate of heat transfer:
Q =	516.396	W

	Output parameters:
k (W/m.K)	h (W/m2.K)	r (mm)	T (deg C)
		82.12851	105.73544
		82.32932	105.33404
		82.53012	104.93362
		82.73092	104.53417
		82.93173	104.13568
		83.13253	103.73816
		83.33333	103.34160
		83.53414	102.94600
		83.73494	102.55134
		83.93574	102.15763
		84.13655	101.76486
		84.33735	101.37303
		84.53815	100.98213
		84.73896	100.59215
		84.93976	100.20310
		85.14056	99.81497
		85.34137	99.42775
		85.54217	99.04144
		85.74297	98.65604
		85.94378	98.27154
		86.14458	97.88794
		86.34538	97.50522
		86.54618	97.12340
		86.74699	96.74247
		86.94779	96.36241
		87.14859	95.98323
		87.34940	95.60492
		87.55020	95.22749
		87.75100	94.85091
		87.95181	94.47520
		88.15261	94.10035
		88.35341	93.72634
		88.55422	93.35319
		88.75502	92.98088
		88.95582	92.60941
		89.15663	92.23878
		89.35743	91.86899
		89.55823	91.50002
		89.75904	91.13188
		89.95984	90.76457
		90.16064	90.39807
		90.36145	90.03239
		90.56225	89.66752
		90.76305	89.30345
		90.96386	88.94020
		91.16466	88.57774
		91.36546	88.21608
		91.56627	87.85521
		91.76707	87.49514
		91.96787	87.13585
		92.16867	86.77735
		92.36948	86.41962
		92.57028	86.06268
		92.77108	85.70650
		92.97189	85.35110
		93.17269	84.99646
		93.37349	84.64259
		93.57430	84.28948
		93.77510	83.93712
		93.97590	83.58552
		94.17671	83.23467
		94.37751	82.88456
		94.57831	82.53520
		94.77912	82.18658
		94.97992	81.83870
		95.18072	81.49155
		95.38153	81.14514
		95.58233	80.79945
		95.78313	80.45449
		95.98394	80.11025
		96.18474	79.76673
		96.38554	79.42393
		96.58635	79.08184
		96.78715	78.74046
		96.98795	78.39978
		97.18876	78.05982
		97.38956	77.72055
		97.59036	77.38198
		97.79116	77.04411
		97.99197	76.70694
		98.19277	76.37045
		98.39357	76.03465
		98.59438	75.69953
		98.79518	75.36510
		98.99598	75.03134
		99.19679	74.69827
		99.39759	74.36586
		99.59839	74.03413
		99.79920	73.70306
		100.00000	73.37266
		100.20080	73.04292
		100.40161	72.71385
		100.60241	72.38543
		100.80321	72.05766
		101.00402	71.73055
		101.20482	71.40409
		101.40562	71.07827
		101.60643	70.75310
		101.80723	70.42857
		102.00803	70.10468
		102.20884	69.78143
		102.40964	69.45881
		102.61044	69.13682
		102.81124	68.81546
		103.01205	68.49473
		103.21285	68.17463
		103.41365	67.85514
		103.61446	67.53628
		103.81526	67.21804
		104.01606	66.90040
		104.21687	66.58339
		104.41767	66.26698
		104.61847	65.95118
		104.81928	65.63598
		105.02008	65.32139
		105.22088	65.00740
		105.42169	64.69401
		105.62249	64.38121
		105.82329	64.06901
		106.02410	63.75740
		106.22490	63.44638
		106.42570	63.13595
		106.62651	62.82610
		106.82731	62.51683
		107.02811	62.20815
		107.22892	61.90005
		107.42972	61.59252
		107.63052	61.28556
		107.83133	60.97918
		108.03213	60.67337
		108.23293	60.36812
		108.43373	60.06344
		108.63454	59.75933
		108.83534	59.45578
		109.03614	59.15278
		109.23695	58.85035
		109.43775	58.54846
		109.63855	58.24714
		109.83936	57.94636
		110.04016	57.64613
		110.24096	57.34645
		110.44177	57.04732
		110.64257	56.74873
		110.84337	56.45068
		111.04418	56.15317
		111.24498	55.85620
		111.44578	55.55976
		111.64659	55.26386
		111.84739	54.96849
		112.04819	54.67365
		112.24900	54.37933
		112.44980	54.08555
		112.65060	53.79228
		112.85141	53.49954
		113.05221	53.20732
		113.25301	52.91562
		113.45382	52.62443
		113.65462	52.33376
		113.85542	52.04360
		114.05622	51.75396
		114.25703	51.46482
		114.45783	51.17619
		114.65863	50.88807
		114.85944	50.60045
		115.06024	50.31333
		115.26104	50.02672
		115.46185	49.74060
		115.66265	49.45498
		115.86345	49.16986
		116.06426	48.88523
		116.26506	48.60109
		116.46586	48.31744
		116.66667	48.03428
		116.86747	47.75161
		117.06827	47.46942
		117.26908	47.18772
		117.46988	46.90650
		117.67068	46.62575
		117.87149	46.34549
		118.07229	46.06571
		118.27309	45.78640
		118.47390	45.50756
		118.67470	45.22919
		118.87550	44.95130
		119.07631	44.67388
		119.27711	44.39692
		119.47791	44.12043
		119.67871	43.84440
		119.87952	43.56884
		120.08032	43.29373
		120.28112	43.01909
		120.48193	42.74490
		120.68273	42.47117
		120.88353	42.19790
		121.08434	41.92508
		121.28514	41.65271
		121.48594	41.38080
		121.68675	41.10933
		121.88755	40.83831
		122.08835	40.56773
		122.28916	40.29760
		122.48996	40.02791
		122.69076	39.75867
		122.89157	39.48986
		123.09237	39.22150
		123.29317	38.95357
		123.49398	38.68608
		123.69478	38.41902
		123.89558	38.15239
		124.09639	37.88620
		124.29719	37.62044
		124.49799	37.35511
		124.69880	37.09020
		124.89960	36.82572
		125.10040	36.56167
		125.30120	36.29803
		125.50201	36.03482
		125.70281	35.77204
		125.90361	35.50967
		126.10442	35.24772
		126.30522	34.98618
		126.50602	34.72506
		126.70683	34.46436
		126.90763	34.20407
		127.10843	33.94419
		127.30924	33.68472
		127.51004	33.42566
		127.71084	33.16700
		127.91165	32.90876
		128.11245	32.65091
		128.31325	32.39348
		128.51406	32.13644
		128.71486	31.87981
		128.91566	31.62357
		129.11647	31.36774
		129.31727	31.11230
		129.51807	30.85726
		129.71888	30.60261
		129.91968	30.34836
		130.12048	30.09450
		130.32129	29.84103
