_Composite_Pipe_Results_
	Input parameters:
Hot side temperature:
T1 =	110.000	deg C
Cold side temperature:
T2 =	30.000	deg C

Pipe length:
L =	1.000	m

Inner radius:
r_1 =	0.050	m

Thermal conductivity of layer 1:
k_1 =	400.000	W/m.K
Outer radius of layer 1:
r_2 =	0.060	m

Layer 1 resistance to heat transfer:
R_2 =	0.000	K/W

Thermal conductivity of layer 2:
k_2 =	150.000	W/m.K
Outer radius of layer 2:
r_3 =	0.080	m

Layer 2 resistance to heat transfer:
R_3 =	0.000	K/W

Thermal conductivity of layer 3:
k_3 =	0.500	W/m.K
Outer radius of layer 3:
r_4 =	0.130	m

Layer 3 resistance to heat transfer:
R_4 =	0.155	K/W

	Intermediate parameters:
Rate of heat transfer:
Q =	516.396	W

	Output parameters:
k (W/m.K)	h (W/m2.K)	r (mm)	T (deg C)
0.000	0.000	50.00000	110.00000
400.000		50.04016	109.99984
		50.08032	109.99967
		50.12048	109.99951
		50.16064	109.99934
		50.20080	109.99918
		50.24096	109.99901
		50.28112	109.99885
		50.32129	109.99868
		50.36145	109.99852
		50.40161	109.99836
		50.44177	109.99819
		50.48193	109.99803
		50.52209	109.99787
		50.56225	109.99770
		50.60241	109.99754
		50.64257	109.99738
		50.68273	109.99721
		50.72289	109.99705
		50.76305	109.99689
		50.80321	109.99673
		50.84337	109.99656
		50.88353	109.99640
		50.92369	109.99624
		50.96386	109.99608
		51.00402	109.99592
		51.04418	109.99575
		51.08434	109.99559
		51.12450	109.99543
		51.16466	109.99527
		51.20482	109.99511
		51.24498	109.99495
		51.28514	109.99479
		51.32530	109.99462
		51.36546	109.99446
		51.40562	109.99430
		51.44578	109.99414
		51.48594	109.99398
		51.52610	109.99382
		51.56627	109.99366
		51.60643	109.99350
		51.64659	109.99334
		51.68675	109.99318
		51.72691	109.99302
		51.76707	109.99286
		51.80723	109.99270
		51.84739	109.99255
		51.88755	109.99239
		51.92771	109.99223
		51.96787	109.99207
		52.00803	109.99191
		52.04819	109.99175
		52.08835	109.99159
		52.12851	109.99143
		52.16867	109.99128
		52.20884	109.99112
		52.24900	109.99096
		52.28916	109.99080
		52.32932	109.99064
		52.36948	109.99049
		52.40964	109.99033
		52.44980	109.99017
		52.48996	109.99001
		52.53012	109.98986
		52.57028	109.98970
		52.61044	109.98954
		52.65060	109.98939
		52.69076	109.98923
		52.73092	109.98907
		52.77108	109.98892
		52.81124	109.98876
		52.85141	109.98860
		52.89157	109.98845
		52.93173	109.98829
		52.97189	109.98814
		53.01205	109.98798
		53.05221	109.98783
		53.09237	109.98767
		53.13253	109.98751
		53.17269	109.98736
		53.21285	109.98720
		53.25301	109.98705
		53.29317	109.98689
		53.33333	109.98674
		53.37349	109.98658
		53.41365	109.98643
		53.45382	109.98628
		53.49398	109.98612
		53.53414	109.98597
		53.57430	109.98581
		53.61446	109.98566
		53.65462	109.98551
		53.69478	109.98535
		53.73494	109.98520
		53.77510	109.98504
		53.81526	109.98489
		53.85542	109.98474
		53.89558	109.98458
		53.93574	109.98443
		53.97590	109.98428
		54.01606	109.98413
		54.05622	109.98397
		54.09639	109.98382
		54.13655	109.98367
		54.17671	109.98352
		54.21687	109.98336
		54.25703	109.98321
		54.29719	109.98306
		54.33735	109.98291
		54.37751	109.98276
		54.41767	109.98260
		54.45783	109.98245
		54.49799	109.98230
		54.53815	109.98215
		54.57831	109.98200
		54.61847	109.98185
		54.65863	109.98170
		54.69880	109.98155
		54.73896	109.98139
		54.77912	109.98124
		54.81928	109.98109
		54.85944	109.98094
		54.89960	109.98079
		54.93976	109.98064
		54.97992	109.98049
		55.02008	109.98034
		55.06024	109.98019
		55.10040	109.98004
		55.14056	109.97989
		55.18072	109.97974
		55.22088	109.97959
		55.26104	109.97944
		55.30120	109.97929
		55.34137	109.97915
		55.38153	109.97900
		55.42169	109.97885
		55.46185	109.97870
		55.50201	109.97855
		55.54217	109.97840
		55.58233	109.97825
		55.62249	109.97810
		55.66265	109.97796
		55.70281	109.97781
		55.74297	109.97766
		55.78313	109.97751
		55.82329	109.97736
		55.86345	109.97722
		55.90361	109.97707
		55.94378	109.97692
		55.98394	109.97677
		56.02410	109.97663
		56.06426	109.97648
		56.10442	109.97633
		56.14458	109.97618
		56.18474	109.97604
		56.22490	109.97589
		56.26506	109.97574
		56.30522	109.97560
		56.34538	109.97545
		56.38554	109.97530
		56.42570	109.97516
		56.46586	109.97501
		56.50602	109.97487
		56.54618	109.97472
		56.58635	109.97457
		56.62651	109.97443
		56.66667	109.97428
		56.70683	109.97414
		56.74699	109.97399
		56.78715	109.97385
		56.82731	109.97370
		56.86747	109.97356
		56.90763	109.97341
		56.94779	109.97327
		56.98795	109.97312
		57.02811	109.97298
		57.06827	109.97283
		57.10843	109.97269
		57.14859	109.97254
		57.18876	109.97240
		57.22892	109.97225
		57.26908	109.97211
		57.30924	109.97197
		57.34940	109.97182
		57.38956	109.97168
		57.42972	109.97153
		57.46988	109.97139
		57.51004	109.97125
		57.55020	109.97110
		57.59036	109.97096
		57.63052	109.97082
		57.67068	109.97067
		57.71084	109.97053
		57.75100	109.97039
		57.79116	109.97025
		57.83133	109.97010
		57.87149	109.96996
		57.91165	109.96982
		57.95181	109.96968
		57.99197	109.96953
		58.03213	109.96939
		58.07229	109.96925
		58.11245	109.96911
		58.15261	109.96896
		58.19277	109.96882
		58.23293	109.96868
		58.27309	109.96854
		58.31325	109.96840
		58.35341	109.96826
		58.39357	109.96811
		58.43373	109.96797
		58.47390	109.96783
		58.51406	109.96769
		58.55422	109.96755
		58.59438	109.96741
		58.63454	109.96727
		58.67470	109.96713
		58.71486	109.96699
		58.75502	109.96685
		58.79518	109.96671
		58.83534	109.96657
		58.87550	109.96643
		58.91566	109.96629
		58.95582	109.96615
		58.99598	109.96601
		59.03614	109.96587
		59.07631	109.96573
		59.11647	109.96559
		59.15663	109.96545
		59.19679	109.96531
		59.23695	109.96517
		59.27711	109.96503
		59.31727	109.96489
		59.35743	109.96475
		59.39759	109.96461
		59.43775	109.96447
		59.47791	109.96433
		59.51807	109.96420
		59.55823	109.96406
		59.59839	109.96392
		59.63855	109.96378
		59.67871	109.96364
		59.71888	109.96350
		59.75904	109.96337
		59.79920	109.96323
		59.83936	109.96309
		59.87952	109.96295
		59.91968	109.96281
		59.95984	109.96268
		60.00000	109.96254
		60.04016	109.96240
150.000		60.12048	109.96167
		60.20080	109.96094
		60.28112	109.96021
		60.36145	109.95948
		60.44177	109.95875
		60.52209	109.95802
		60.60241	109.95729
		60.68273	109.95657
		60.76305	109.95584
		60.84337	109.95512
		60.92369	109.95440
		61.00402	109.95368
		61.08434	109.95295
		61.16466	109.95223
		61.24498	109.95152
		61.32530	109.95080
		61.40562	109.95008
		61.48594	109.94936
		61.56627	109.94865
		61.64659	109.94793
		61.72691	109.94722
		61.80723	109.94651
		61.88755	109.94580
		61.96787	109.94509
		62.04819	109.94438
		62.12851	109.94367
		62.20884	109.94296
		62.28916	109.94225
		62.36948	109.94155
		62.44980	109.94084
		62.53012	109.94014
		62.61044	109.93943
		62.69076	109.93873
		62.77108	109.93803
		62.85141	109.93733
		62.93173	109.93663
		63.01205	109.93593
		63.09237	109.93523
		63.17269	109.93454
		63.25301	109.93384
		63.33333	109.93314
		63.41365	109.93245
		63.49398	109.93176
		63.57430	109.93106
		63.65462	109.93037
		63.73494	109.92968
		63.81526	109.92899
		63.89558	109.92830
		63.97590	109.92761
		64.05622	109.92693
		64.13655	109.92624
		64.21687	109.92555
		64.29719	109.92487
		64.37751	109.92418
		64.45783	109.92350
		64.53815	109.92282
		64.61847	109.92214
		64.69880	109.92146
		64.77912	109.92078
		64.85944	109.92010
		64.93976	109.91942
		65.02008	109.91874
		65.10040	109.91807
		65.18072	109.91739
		65.26104	109.91672
		65.34137	109.91604
		65.42169	109.91537
		65.50201	109.91470
		65.58233	109.91402
		65.66265	109.91335
		65.74297	109.91268
		65.82329	109.91202
		65.90361	109.91135
		65.98394	109.91068
		66.06426	109.91001
		66.14458	109.90935
		66.22490	109.90868
		66.30522	109.90802
		66.38554	109.90735
		66.46586	109.90669
		66.54618	109.90603
		66.62651	109.90537
		66.70683	109.90471
		66.78715	109.90405
		66.86747	109.90339
		66.94779	109.90273
		67.02811	109.90208
		67.10843	109.90142
		67.18876	109.90077
		67.26908	109.90011
		67.34940	109.89946
		67.42972	109.89880
		67.51004	109.89815
		67.59036	109.89750
		67.67068	109.89685
		67.75100	109.89620
		67.83133	109.89555
		67.91165	109.89490
		67.99197	109.89425
		68.07229	109.89361
		68.15261	109.89296
		68.23293	109.89232
		68.31325	109.89167
		68.39357	109.89103
		68.47390	109.89038
		68.55422	109.88974
		68.63454	109.88910
		68.71486	109.88846
		68.79518	109.88782
		68.87550	109.88718
		68.95582	109.88654
		69.03614	109.88590
		69.11647	109.88527
		69.19679	109.88463
		69.27711	109.88399
		69.35743	109.88336
		69.43775	109.88273
		69.51807	109.88209
		69.59839	109.88146
		69.67871	109.88083
		69.75904	109.88020
		69.83936	109.87957
		69.91968	109.87894
		70.00000	109.87831
		70.08032	109.87768
		70.16064	109.87705
		70.24096	109.87642
		70.32129	109.87580
		70.40161	109.87517
		70.48193	109.87455
		70.56225	109.87392
		70.64257	109.87330
		70.72289	109.87268
		70.80321	109.87206
		70.88353	109.87143
		70.96386	109.87081
		71.04418	109.87019
		71.12450	109.86957
		71.20482	109.86896
		71.28514	109.86834
		71.36546	109.86772
		71.44578	109.86711
		71.52610	109.86649
		71.60643	109.86587
		71.68675	109.86526
		71.76707	109.86465
		71.84739	109.86403
		71.92771	109.86342
		72.00803	109.86281
		72.08835	109.86220
		72.16867	109.86159
		72.24900	109.86098
		72.32932	109.86037
		72.40964	109.85976
		72.48996	109.85916
		72.57028	109.85855
		72.65060	109.85794
		72.73092	109.85734
		72.81124	109.85673
		72.89157	109.85613
		72.97189	109.85552
		73.05221	109.85492
		73.13253	109.85432
		73.21285	109.85372
		73.29317	109.85312
		73.37349	109.85252
		73.45382	109.85192
		73.53414	109.85132
		73.61446	109.85072
		73.69478	109.85012
		73.77510	109.84953
		73.85542	109.84893
		73.93574	109.84834
		74.01606	109.84774
		74.09639	109.84715
		74.17671	109.84655
		74.25703	109.84596
		74.33735	109.84537
		74.41767	109.84478
		74.49799	109.84418
		74.57831	109.84359
		74.65863	109.84300
		74.73896	109.84241
		74.81928	109.84183
		74.89960	109.84124
		74.97992	109.84065
		75.06024	109.84006
		75.14056	109.83948
		75.22088	109.83889
		75.30120	109.83831
		75.38153	109.83772
		75.46185	109.83714
		75.54217	109.83656
		75.62249	109.83598
		75.70281	109.83539
		75.78313	109.83481
		75.86345	109.83423
		75.94378	109.83365
		76.02410	109.83307
		76.10442	109.83250
		76.18474	109.83192
		76.26506	109.83134
		76.34538	109.83076
		76.42570	109.83019
		76.50602	109.82961
		76.58635	109.82904
		76.66667	109.82846
		76.74699	109.82789
		76.82731	109.82732
		76.90763	109.82674
		76.98795	109.82617
		77.06827	109.82560
		77.14859	109.82503
		77.22892	109.82446
		77.30924	109.82389
		77.38956	109.82332
		77.46988	109.82275
		77.55020	109.82218
		77.63052	109.82162
		77.71084	109.82105
		77.79116	109.82048
		77.87149	109.81992
		77.95181	109.81935
		78.03213	109.81879
		78.11245	109.81823
		78.19277	109.81766
		78.27309	109.81710
		78.35341	109.81654
		78.43373	109.81598
		78.51406	109.81542
		78.59438	109.81486
		78.67470	109.81430
		78.75502	109.81374
		78.83534	109.81318
		78.91566	109.81262
		78.99598	109.81206
		79.07631	109.81151
		79.15663	109.81095
		79.23695	109.81039
		79.31727	109.80984
		79.39759	109.80928
		79.47791	109.80873
		79.55823	109.80818
		79.63855	109.80762
		79.71888	109.80707
		79.79920	109.80652
		79.87952	109.80597
		79.95984	109.80542
		80.04016	109.80487
		80.12048	109.80432
0.500		80.32129	109.39287
		80.52209	108.98245
		80.72289	108.57305
		80.92369	108.16466
		81.12450	107.75729
		81.32530	107.35093
		81.52610	106.94557
		81.72691	106.54120
		81.92771	106.13783
