_Composite_Pipe_Results_
	Input parameters:
Hot side temperature:
T1 =	110.000	deg C
Cold side temperature:
T2 =	30.000	deg C

Pipe length:
L =	1.200	m

Inner radius:
r_1 =	0.050	m

Fluid heat transfer coefficient of layer 1:
h_1 =	1000.000	W/m2.K
Outer radius of layer 1:
r_2 =	0.050	m

Layer 1 resistance to heat transfer:
R_2 =	0.127	K/W

Thermal conductivity of layer 2:
k_2 =	400.000	W/m.K
Outer radius of layer 2:
r_3 =	0.060	m

Layer 2 resistance to heat transfer:
R_3 =	0.000	K/W

Thermal conductivity of layer 3:
k_3 =	0.200	W/m.K
Outer radius of layer 3:
r_4 =	0.090	m

Layer 3 resistance to heat transfer:
R_4 =	0.269	K/W

Fluid heat transfer coefficient of layer 4:
h_4 =	0.500	W/m2.K
Outer radius of layer 4:
r_5 =	0.090	m

Layer 4 resistance to heat transfer:
R_5 =	78.595	K/W

	Intermediate parameters:
Rate of heat transfer:
Q =	1.013	W

	Output parameters:
k (W/m.K)	h (W/m2.K)	r (mm)	T (deg C)
		59.63855	109.87099
		59.67871	109.87099
		59.71888	109.87099
		59.75904	109.87099
		59.79920	109.87099
		59.83936	109.87099
		59.87952	109.87099
		59.91968	109.87099
		59.95984	109.87099
		60.00000	109.87099
		60.04016	109.87099
0.200		60.16064	109.86964
		60.28112	109.86830
		60.40161	109.86696
		60.52209	109.86562
		60.64257	109.86428
		60.76305	109.86295
		60.88353	109.86162
		61.00402	109.86029
		61.12450	109.85897
		61.24498	109.85764
		61.36546	109.85633
		61.48594	109.85501
		61.60643	109.85369
		61.72691	109.85238
		61.84739	109.85107
		61.96787	109.84976
		62.08835	109.84846
		62.20884	109.84716
		62.32932	109.84586
		62.44980	109.84456
		62.57028	109.84327
		62.69076	109.84197
		62.81124	109.84069
		62.93173	109.83940
		63.05221	109.83811
		63.17269	109.83683
		63.29317	109.83555
		63.41365	109.83427
		63.53414	109.83300
		63.65462	109.83173
		63.77510	109.83046
		63.89558	109.82919
		64.01606	109.82792
		64.13655	109.82666
		64.25703	109.82540
		64.37751	109.82414
		64.49799	109.82289
		64.61847	109.82163
		64.73896	109.82038
		64.85944	109.81913
		64.97992	109.81789
		65.10040	109.81664
		65.22088	109.81540
		65.34137	109.81416
		65.46185	109.81293
		65.58233	109.81169
		65.70281	109.81046
		65.82329	109.80923
		65.94378	109.80800
		66.06426	109.80677
		66.18474	109.80555
		66.30522	109.80433
		66.42570	109.80311
		66.54618	109.80189
		66.66667	109.80068
		66.78715	109.79946
		66.90763	109.79825
		67.02811	109.79705
		67.14859	109.79584
		67.26908	109.79463
		67.38956	109.79343
		67.51004	109.79223
		67.63052	109.79104
		67.75100	109.78984
		67.87149	109.78865
		67.99197	109.78746
		68.11245	109.78627
		68.23293	109.78508
		68.35341	109.78390
		68.47390	109.78271
		68.59438	109.78153
		68.71486	109.78035
		68.83534	109.77918
		68.95582	109.77800
		69.07631	109.77683
		69.19679	109.77566
		69.31727	109.77449
		69.43775	109.77332
		69.55823	109.77216
		69.67871	109.77100
		69.79920	109.76984
		69.91968	109.76868
		70.04016	109.76752
		70.16064	109.76637
		70.28112	109.76522
		70.40161	109.76407
		70.52209	109.76292
		70.64257	109.76177
		70.76305	109.76063
		70.88353	109.75948
		71.00402	109.75834
		71.12450	109.75721
		71.24498	109.75607
		71.36546	109.75493
		71.48594	109.75380
		71.60643	109.75267
		71.72691	109.75154
		71.84739	109.75041
		71.96787	109.74929
		72.08835	109.74816
		72.20884	109.74704
		72.32932	109.74592
		72.44980	109.74481
		72.57028	109.74369
		72.69076	109.74258
		72.81124	109.74146
		72.93173	109.74035
		73.05221	109.73924
		73.17269	109.73814
		73.29317	109.73703
		73.41365	109.73593
		73.53414	109.73483
		73.65462	109.73373
		73.77510	109.73263
		73.89558	109.73154
		74.01606	109.73044
		74.13655	109.72935
		74.25703	109.72826
		74.37751	109.72717
		74.49799	109.72608
		74.61847	109.72500
		74.73896	109.72391
		74.85944	109.72283
		74.97992	109.72175
		75.10040	109.72067
		75.22088	109.71960
		75.34137	109.71852
		75.46185	109.71745
		75.58233	109.71638
		75.70281	109.71531
		75.82329	109.71424
		75.94378	109.71317
		76.06426	109.71211
